gene,emb_idx,drift_l2,drift_rank
NFATC2,227,28.842208862304688,0
CSF3R,457,28.821489334106445,1
RUNX3,45,28.772180557250977,2
EOMES,1026,28.704891204833984,3
FCER2,265,28.69534683227539,4
STAT4,734,28.67342185974121,5
PTGS2,128,28.61750602722168,6
CD86,377,28.607275009155273,7
IRF8,771,28.532182693481445,8
TLR10,1259,28.487171173095703,9
CD2,425,28.466201782226562,10
BLK,702,28.43511390686035,11
CD19,1315,28.432710647583008,12
PAX5,1536,28.42288589477539,13
ITGAX,768,28.39375114440918,14
IL1B,545,28.390445709228516,15
MYBL1,1460,28.386615753173828,16
CCL5,4053,28.37099266052246,17
HIF3A,522,28.35897445678711,18
CD44,51,28.356304168701172,19
NEAT1,3078,28.353303909301758,20
FLI1,886,28.345993041992188,21
HLA-DOB,2938,28.327289581298828,22
BACH2,359,28.30507469177246,23
IL2,318,28.27569007873535,24
FLT1,243,28.26935386657715,25
CD6,40,28.259733200073242,26
GATA3,294,28.25453758239746,27
FOS,1186,28.239877700805664,28
NCAM1,859,28.223602294921875,29
FOSB,550,28.162561416625977,30
TLR2,718,28.162202835083008,31
TGFBR2,1027,28.160980224609375,32
ID2,405,28.15726089477539,33
GCSAM,1266,28.147388458251953,34
S100A4,1540,28.143301010131836,35
EGR3,1342,28.14080238342285,36
IRF4,715,28.130441665649414,37
KLF2,571,28.106204986572266,38
CD28,1329,28.094816207885742,39
NR4A3,456,28.090099334716797,40
CD34,1258,28.085498809814453,41
RUNX1,966,28.082109451293945,42
DUSP1,467,28.0773983001709,43
CTLA4,1038,28.075838088989258,44
BATF,938,28.071020126342773,45
NR4A2,909,28.061756134033203,46
CCR4,1417,28.04201889038086,47
ZEB1,851,28.0395450592041,48
HOPX,1211,28.035930633544922,49
BCL2,1217,28.031097412109375,50
BCL2A1,763,28.026229858398438,51
CD79A,270,28.013755798339844,52
REL,1008,28.01288414001465,53
NFIB,846,28.001935958862305,54
TNFSF14,549,27.99623680114746,55
POU2AF1,331,27.988506317138672,56
CD40LG,241,27.97037124633789,57
RORA,117,27.966360092163086,58
DAPK2,64,27.96478843688965,59
IL5RA,189,27.964588165283203,60
VIM,50,27.961713790893555,61
TEK,468,27.955488204956055,62
TXNIP,3824,27.955358505249023,63
LCK,1397,27.926204681396484,64
CCR7,559,27.924039840698242,65
TCF4,1548,27.92010498046875,66
CCL20,385,27.91222381591797,67
CD69,333,27.905763626098633,68
CA2,255,27.878963470458984,69
CYBB,1082,27.870878219604492,70
PLAUR,33,27.862165451049805,71
RFX3,151,27.832725524902344,72
JUNB,1205,27.831884384155273,73
NCF2,419,27.831594467163086,74
ALDH1A1,1080,27.825016021728516,75
LEF1,742,27.82229232788086,76
CD8A,913,27.81840705871582,77
ITGB8,276,27.785329818725586,78
CCL3,4316,27.779848098754883,79
HDAC9,73,27.777271270751953,80
MECOM,172,27.770151138305664,81
ZEB2,1172,27.752729415893555,82
CIITA,1344,27.74658203125,83
CD3G,983,27.726768493652344,84
TNFAIP3,446,27.72270393371582,85
PMAIP1,783,27.717763900756836,86
TNF,2565,27.711477279663086,87
TNFRSF1B,56,27.703428268432617,88
TBX21,130,27.702966690063477,89
LDHA,665,27.701004028320312,90
MS4A1,941,27.699974060058594,91
NR3C2,884,27.69847297668457,92
GADD45A,420,27.685850143432617,93
PBK,1140,27.676774978637695,94
CEBPD,2048,27.676321029663086,95
ATM,860,27.668962478637695,96
RUNX2,531,27.65964126586914,97
SP100,110,27.6575870513916,98
ETS1,676,27.656272888183594,99
SYK,1078,27.636619567871094,100
TRERF1,524,27.636045455932617,101
VCAN,66,27.635263442993164,102
LTB,2256,27.627538681030273,103
LGALS1,204,27.62713623046875,104
MIF,2934,27.621898651123047,105
FASLG,438,27.618555068969727,106
FXYD2,724,27.600847244262695,107
SELL,1514,27.58707618713379,108
PTTG1,1070,27.5795955657959,109
APP,785,27.576290130615234,110
EGR1,474,27.572099685668945,111
ASS1,611,27.57147979736328,112
CR1,1668,27.571426391601562,113
ALOX5,38,27.555709838867188,114
TXN,705,27.555395126342773,115
NCOA3,514,27.55145263671875,116
ZFP36,577,27.546709060668945,117
KLRK1,1936,27.54450035095215,118
IL2RA,668,27.540802001953125,119
PRF1,1359,27.535308837890625,120
IL24,1005,27.53216552734375,121
BNIP3,1293,27.528064727783203,122
CAT,481,27.527681350708008,123
ELF1,473,27.521589279174805,124
IL2RB,212,27.519100189208984,125
POU2F2,57,27.51641082763672,126
CLU,476,27.510540008544922,127
ATP1B1,791,27.489757537841797,128
MGP,340,27.483015060424805,129
NCL,386,27.48141098022461,130
MGAT5,891,27.481239318847656,131
SPIB,3964,27.452009201049805,132
STIM1,1123,27.446121215820312,133
MEF2C,155,27.43130874633789,134
IL10,703,27.42926597595215,135
CXCR4,486,27.417356491088867,136
WFDC2,234,27.405637741088867,137
ITGB2,978,27.395832061767578,138
TBXAS1,93,27.385719299316406,139
PRDM1,91,27.36956787109375,140
HLA-DRB1,1537,27.342731475830078,141
JARID2,22,27.339099884033203,142
OPRM1,356,27.31830596923828,143
MSR1,67,27.287155151367188,144
MMP7,721,27.28084373474121,145
IFNG,343,27.277511596679688,146
CD8B,1226,27.2742977142334,147
JUN,1320,27.272384643554688,148
PRKCQ,106,27.264080047607422,149
TSC22D3,946,27.255081176757812,150
GSTP1,168,27.248689651489258,151
BIRC3,48,27.245838165283203,152
PLAT,256,27.239526748657227,153
HLA-DRA,1677,27.235532760620117,154
HLA-DMB,2996,27.224788665771484,155
SPP1,450,27.22215461730957,156
HLA-A,1714,27.219749450683594,157
LRRFIP1,532,27.21491813659668,158
HLA-B,2657,27.213884353637695,159
BIRC5,182,27.2044620513916,160
KDR,579,27.199382781982422,161
RHOC,929,27.191730499267578,162
PCBD1,1099,27.189882278442383,163
HPGD,1053,27.181032180786133,164
AKR1B1,173,27.176204681396484,165
CTSB,1073,27.160131454467773,166
HLA-C,1689,27.15909767150879,167
RHOB,804,27.156675338745117,168
PDHA1,634,27.156187057495117,169
SDHB,430,27.151535034179688,170
CXCR3,1484,27.125699996948242,171
MAFA,1396,27.122880935668945,172
KLF6,111,27.118213653564453,173
SLA2,226,27.089092254638672,174
HIF1A,221,27.079204559326172,175
CCND1,326,27.064517974853516,176
TNFSF10,484,27.06092643737793,177
ALOX5AP,648,27.027278900146484,178
FAM162A,379,27.006895065307617,179
HDGF,798,27.003690719604492,180
MKI67,854,26.96038246154785,181
ASAH1,258,26.859180450439453,182
EPCAM,463,26.787336349487305,183
HIPK2,100,26.729238510131836,184
HLA-DPB1,2078,26.718830108642578,185
FOXP3,80,26.667442321777344,186
TNFRSF17,74,0.0,187
TSHB,662,0.0,188
TLX1,300,0.0,189
IGFBP3,828,0.0,190
KLF14,3832,0.0,191
SOX18,1674,0.0,192
GBX2,1148,0.0,193
KLK1,1132,0.0,194
DCN,34,0.0,195
INS,3353,0.0,196
IL6,697,0.0,197
CXCL8,1167,0.0,198
IGFBP1,829,0.0,199
COL1A1,309,0.0,200
SERPINB2,1573,0.0,201
MMP9,225,0.0,202
IL12B,369,0.0,203
MUC1,1452,0.0,204
NPPA,1280,0.0,205
IL12A,1154,0.0,206
CCR6,360,0.0,207
POU1F1,101,0.0,208
