gene,emb_idx,drift_l2,drift_pct_fullvocab
NFATC2,227,28.842208862304688,0.9985425775556943
CSF3R,457,28.821489334106445,0.998334374349365
RUNX3,45,28.772180557250977,0.9977097647303769
EOMES,1026,28.704891204833984,0.9962523422860712
FCER2,265,28.69534683227539,0.995627732667083
STAT4,734,28.67342185974121,0.9954195294607537
PTGS2,128,28.61750602722168,0.9935457006037893
CD86,377,28.607275009155273,0.9931292941911305
IRF8,771,28.532182693481445,0.9912554653341662
TLR10,1259,28.487171173095703,0.9897980428898605
CD2,425,28.466201782226562,0.9891734332708724
BLK,702,28.43511390686035,0.9870914012075785
CD19,1315,28.432710647583008,0.9866749947949198
PAX5,1536,28.42288589477539,0.9862585883822611
ITGAX,768,28.39375114440918,0.9835519466999791
IL1B,545,28.390445709228516,0.9833437434936498
MYBL1,1460,28.386615753173828,0.982927337080991
CCL5,4053,28.37099266052246,0.9818863210493441
HIF3A,522,28.35897445678711,0.9810535082240267
CD44,51,28.356304168701172,0.9808453050176973
NEAT1,3078,28.353303909301758,0.9806371018113679
FLI1,886,28.345993041992188,0.9798042889860504
HLA-DOB,2938,28.327289581298828,0.9789714761607329
BACH2,359,28.30507469177246,0.9762648344784509
IL2,318,28.27569007873535,0.9737663960024985
FLT1,243,28.26935386657715,0.9733499895898396
CD6,40,28.259733200073242,0.9718925671455341
GATA3,294,28.25453758239746,0.9710597543202165
FOS,1186,28.239877700805664,0.9696023318759109
NCAM1,859,28.223602294921875,0.9681449094316052
FOSB,550,28.162561416625977,0.9614824068290652
TLR2,718,28.162202835083008,0.9612742036227357
TGFBR2,1027,28.160980224609375,0.9610660004164064
ID2,405,28.15726089477539,0.9604413907974183
GCSAM,1266,28.147388458251953,0.9589839683531126
S100A4,1540,28.143301010131836,0.9585675619404539
EGR3,1342,28.14080238342285,0.9579429523214658
IRF4,715,28.130441665649414,0.9573183427024776
KLF2,571,28.106204986572266,0.9531542785758901
CD28,1329,28.094816207885742,0.9512804497189257
NR4A3,456,28.090099334716797,0.9504476368936081
CD34,1258,28.085498809814453,0.94982302727462
RUNX1,966,28.082109451293945,0.9491984176556318
DUSP1,467,28.0773983001709,0.9483656048303144
CTLA4,1038,28.075838088989258,0.9479491984176557
BATF,938,28.071020126342773,0.9471163855923381
NR4A2,909,28.061756134033203,0.9454507599417031
CCR4,1417,28.04201889038086,0.9429523214657506
ZEB1,851,28.0395450592041,0.9425359150530919
HOPX,1211,28.035930633544922,0.9414948990214449
BCL2,1217,28.031097412109375,0.9400374765771393
BCL2A1,763,28.026229858398438,0.9396210701644805
CD79A,270,28.013755798339844,0.9381636477201749
REL,1008,28.01288414001465,0.9379554445138455
NFIB,846,28.001935958862305,0.9350405996252342
TNFSF14,549,27.99623680114746,0.9339995835935874
POU2AF1,331,27.988506317138672,0.9325421611492817
CD40LG,241,27.97037124633789,0.9306683322923173
RORA,117,27.966360092163086,0.9300437226733291
DAPK2,64,27.96478843688965,0.9290027066416823
IL5RA,189,27.964588165283203,0.9287945034353529
VIM,50,27.961713790893555,0.9281698938163647
TEK,468,27.955488204956055,0.9271288777847179
TXNIP,3824,27.955358505249023,0.9269206745783886
LCK,1397,27.926204681396484,0.9215073912138247
CCR7,559,27.924039840698242,0.9212991880074953
TCF4,1548,27.92010498046875,0.9206745783885072
CCL20,385,27.91222381591797,0.9196335623568603
CD69,333,27.905763626098633,0.9173433270872371
CA2,255,27.878963470458984,0.9108890276910264
CYBB,1082,27.870878219604492,0.9098480116593796
PLAUR,33,27.862165451049805,0.9075577763897564
RFX3,151,27.832725524902344,0.9004788673745576
JUNB,1205,27.831884384155273,0.8998542577555695
NCF2,419,27.831594467163086,0.8992296481365813
ALDH1A1,1080,27.825016021728516,0.8975640224859462
LEF1,742,27.82229232788086,0.8967312096606288
CD8A,913,27.81840705871582,0.8958983968353113
ITGB8,276,27.785329818725586,0.8888194878201124
CCL3,4316,27.779848098754883,0.8867374557568186
HDAC9,73,27.777271270751953,0.8861128461378305
MECOM,172,27.770151138305664,0.8838226108682073
ZEB2,1172,27.752729415893555,0.8784093275036435
CIITA,1344,27.74658203125,0.8771601082656673
CD3G,983,27.726768493652344,0.872579637726421
TNFAIP3,446,27.72270393371582,0.8713304184884447
PMAIP1,783,27.717763900756836,0.8690401832188216
TNF,2565,27.711477279663086,0.8675827607745159
TNFRSF1B,56,27.703428268432617,0.8655007287112222
TBX21,130,27.702966690063477,0.8652925255048928
LDHA,665,27.701004028320312,0.864876119092234
MS4A1,941,27.699974060058594,0.8640433062669165
NR3C2,884,27.69847297668457,0.863210493441599
GADD45A,420,27.685850143432617,0.8605038517593171
PBK,1140,27.676774978637695,0.8596710389339995
CEBPD,2048,27.676321029663086,0.8588382261086821
ATM,860,27.668962478637695,0.8569643972517177
RUNX2,531,27.65964126586914,0.8542577555694357
SP100,110,27.6575870513916,0.853841349156777
ETS1,676,27.656272888183594,0.8530085363314595
SYK,1078,27.636619567871094,0.8480116593795545
TRERF1,524,27.636045455932617,0.8473870497605663
VCAN,66,27.635263442993164,0.8469706433479075
LTB,2256,27.627538681030273,0.8442640016656257
LGALS1,204,27.62713623046875,0.8440557984592962
MIF,2934,27.621898651123047,0.8423901728086612
FASLG,438,27.618555068969727,0.8415573599833437
FXYD2,724,27.600847244262695,0.8361440766187799
SELL,1514,27.58707618713379,0.8315636060795336
PTTG1,1070,27.5795955657959,0.8284405579845929
APP,785,27.576290130615234,0.8265667291276285
EGR1,474,27.572099685668945,0.8257339163023111
ASS1,611,27.57147979736328,0.8255257130959817
CR1,1668,27.571426391601562,0.8253175098896522
ALOX5,38,27.555709838867188,0.8194878201124297
TXN,705,27.555395126342773,0.8192796169061004
NCOA3,514,27.55145263671875,0.8178221944617947
ZFP36,577,27.546709060668945,0.8151155527795128
KLRK1,1936,27.54450035095215,0.814699146366854
IL2RA,668,27.540802001953125,0.8132417239225485
PRF1,1359,27.535308837890625,0.8119925046845722
IL24,1005,27.53216552734375,0.8103268790339371
BNIP3,1293,27.528064727783203,0.8094940662086196
CAT,481,27.527681350708008,0.8090776597959609
ELF1,473,27.521589279174805,0.8065792213200084
IL2RB,212,27.519100189208984,0.8055382052883614
POU2F2,57,27.51641082763672,0.8051217988757027
CLU,476,27.510540008544922,0.8028315636060795
ATP1B1,791,27.489757537841797,0.7949198417655632
MGP,340,27.483015060424805,0.7928378097022695
NCL,386,27.48141098022461,0.7922132000832813
MGAT5,891,27.481239318847656,0.7920049968769519
SPIB,3964,27.452009201049805,0.7803456173225067
STIM1,1123,27.446121215820312,0.7788881948782012
MEF2C,155,27.43130874633789,0.7740995211326255
IL10,703,27.42926597595215,0.7734749115136373
CXCR4,486,27.417356491088867,0.7703518634186967
WFDC2,234,27.405637741088867,0.7666042057047678
ITGB2,978,27.395832061767578,0.7626483447845097
TBXAS1,93,27.385719299316406,0.7586924838642515
PRDM1,91,27.36956787109375,0.7518217780553821
HLA-DRB1,1537,27.342731475830078,0.7447428690401832
JARID2,22,27.339099884033203,0.743493649802207
OPRM1,356,27.31830596923828,0.7376639600249844
MSR1,67,27.287155151367188,0.7291276285654799
MMP7,721,27.28084373474121,0.7260045804705393
IFNG,343,27.277511596679688,0.7239225484072455
CD8B,1226,27.2742977142334,0.7232979387882573
JUN,1320,27.272384643554688,0.7228815323755986
PRKCQ,106,27.264080047607422,0.7193420778679992
TSC22D3,946,27.255081176757812,0.7164272329793879
GSTP1,168,27.248689651489258,0.7145534041224235
BIRC3,48,27.245838165283203,0.7130959816781178
PLAT,256,27.239526748657227,0.710389339995836
HLA-DRA,1677,27.235532760620117,0.7085155111388716
HLA-DMB,2996,27.224788665771484,0.7051842598376015
SPP1,450,27.22215461730957,0.7039350405996252
HLA-A,1714,27.219749450683594,0.7033104309806371
LRRFIP1,532,27.21491813659668,0.7022694149489902
HLA-B,2657,27.213884353637695,0.7020612117426608
BIRC5,182,27.2044620513916,0.6991463668540495
KDR,579,27.199382781982422,0.6976889444097439
RHOC,929,27.191730499267578,0.6943576931084738
PCBD1,1099,27.189882278442383,0.693316677076827
HPGD,1053,27.181032180786133,0.6901936289818863
AKR1B1,173,27.176204681396484,0.6883198001249219
CTSB,1073,27.160131454467773,0.6845721424109932
HLA-C,1689,27.15909767150879,0.683947532792005
RHOB,804,27.156675338745117,0.6829065167603581
PDHA1,634,27.156187057495117,0.6824901103476994
SDHB,430,27.151535034179688,0.6810326879033937
CXCR3,1484,27.125699996948242,0.6739537788881949
MAFA,1396,27.122880935668945,0.672912762856548
KLF6,111,27.118213653564453,0.6710389339995836
SLA2,226,27.089092254638672,0.6641682281907141
HIF1A,221,27.079204559326172,0.660212367270456
CCND1,326,27.064517974853516,0.6564647095565271
TNFSF10,484,27.06092643737793,0.6556318967312097
ALOX5AP,648,27.027278900146484,0.6475119716843639
FAM162A,379,27.006895065307617,0.6427232979387882
HDGF,798,27.003690719604492,0.6423068915261295
MKI67,854,26.96038246154785,0.6348115760982719
ASAH1,258,26.859180450439453,0.6179471163855923
EPCAM,463,26.787336349487305,0.6087861753070998
HIPK2,100,26.729238510131836,0.6027482823235478
HLA-DPB1,2078,26.718830108642578,0.6019154694982303
FOXP3,80,26.667442321777344,0.5981678117843015
COL1A1,309,0.0,0.0
MMP9,225,0.0,0.0
CXCL8,1167,0.0,0.0
IL6,697,0.0,0.0
SOX18,1674,0.0,0.0
IGFBP1,829,0.0,0.0
IGFBP3,828,0.0,0.0
NPPA,1280,0.0,0.0
KLK1,1132,0.0,0.0
MUC1,1452,0.0,0.0
GBX2,1148,0.0,0.0
IL12A,1154,0.0,0.0
DCN,34,0.0,0.0
IL12B,369,0.0,0.0
KLF14,3832,0.0,0.0
INS,3353,0.0,0.0
CCR6,360,0.0,0.0
POU1F1,101,0.0,0.0
TSHB,662,0.0,0.0
TNFRSF17,74,0.0,0.0
TLX1,300,0.0,0.0
SERPINB2,1573,0.0,0.0
