layer,compartment,go_term,n_ann,OR,p,emp_p,pole
0,mitochondrion,GO:0005739,14,1.7494089834515367,0.24930568785219331,0.21,bot
0,ER_lumen,GO:0005788,12,6.954545454545454,0.001984637404178837,0.005,top
0,extracellular_vesicle,GO:0070062,48,1.3328173374613004,0.27319113941642287,0.285,bot
0,cytoskeleton,GO:0005856,7,1.216,0.5550700259626284,0.59,bot
0,plasma_membrane,GO:0005886,74,0.7586206896551724,0.8348673123937755,0.865,bot
0,nucleus,GO:0005634,92,1.6953125,0.06894576854567945,0.08,bot
0,secreted,GO:0005615,47,3.009259259259259,0.0018918023503887473,0.0,top
0,ribosome,GO:0005840,0,,,,
1,mitochondrion,GO:0005739,14,2.4293478260869565,0.10195036174439852,0.115,bot
1,ER_lumen,GO:0005788,12,4.728888888888889,0.011471156183448964,0.0,top
1,extracellular_vesicle,GO:0070062,48,1.161904761904762,0.4096874565975988,0.43,bot
1,cytoskeleton,GO:0005856,7,2.3418367346938775,0.23852633518478863,0.245,bot
1,plasma_membrane,GO:0005886,74,0.8521303258145363,0.7370048396092337,0.73,top
1,nucleus,GO:0005634,92,1.6953125,0.06894576854567945,0.105,bot
1,secreted,GO:0005615,47,3.872,0.00015128963289307818,0.0,top
1,ribosome,GO:0005840,0,,,,
2,mitochondrion,GO:0005739,14,3.3333333333333335,0.032228546371247294,0.025,bot
2,ER_lumen,GO:0005788,12,6.954545454545454,0.001984637404178837,0.0,top
2,extracellular_vesicle,GO:0070062,48,0.8701384311140409,0.7039169753926927,0.68,bot
2,cytoskeleton,GO:0005856,7,1.216,0.5550700259626284,0.54,bot
2,plasma_membrane,GO:0005886,74,0.7586206896551724,0.8348673123937755,0.86,top
2,nucleus,GO:0005634,92,2.5866666666666664,0.0027939580149728333,0.02,bot
2,secreted,GO:0005615,47,3.413151364764268,0.0005672793944190142,0.0,top
2,ribosome,GO:0005840,0,,,,
3,mitochondrion,GO:0005739,14,3.3333333333333335,0.032228546371247294,0.03,bot
3,ER_lumen,GO:0005788,12,6.954545454545454,0.001984637404178837,0.0,top
3,extracellular_vesicle,GO:0070062,48,0.8701384311140409,0.7039169753926927,0.72,top
3,cytoskeleton,GO:0005856,7,0.4934640522875817,0.8695448037288483,0.855,bot
3,plasma_membrane,GO:0005886,74,0.7586206896551724,0.8348673123937755,0.845,top
3,nucleus,GO:0005634,92,2.5866666666666664,0.0027939580149728333,0.005,bot
3,secreted,GO:0005615,47,3.009259259259259,0.0018918023503887473,0.005,top
3,ribosome,GO:0005840,0,,,,
4,mitochondrion,GO:0005739,14,2.4293478260869565,0.10195036174439852,0.11,bot
4,ER_lumen,GO:0005788,12,4.728888888888889,0.011471156183448964,0.03,top
4,extracellular_vesicle,GO:0070062,48,1.0083333333333333,0.5600229837151998,0.515,top
4,cytoskeleton,GO:0005856,7,1.216,0.5550700259626284,0.62,bot
4,plasma_membrane,GO:0005886,74,0.9548319327731093,0.6168066965656316,0.64,top
4,nucleus,GO:0005634,92,3.611971104231166,8.977074911090291e-05,0.0,bot
4,secreted,GO:0005615,47,3.009259259259259,0.0018918023503887473,0.0,top
4,ribosome,GO:0005840,0,,,,
5,mitochondrion,GO:0005739,14,1.225,0.47647848226837686,0.43,bot
5,ER_lumen,GO:0005788,12,6.954545454545454,0.001984637404178837,0.0,top
5,extracellular_vesicle,GO:0070062,48,1.0083333333333333,0.5600229837151998,0.53,top
5,cytoskeleton,GO:0005856,7,0.4934640522875817,0.8695448037288483,0.855,bot
5,plasma_membrane,GO:0005886,74,1.0677685950413223,0.48490609405078744,0.45,top
5,nucleus,GO:0005634,92,3.2241379310344827,0.0003133517492629289,0.0,bot
5,secreted,GO:0005615,47,2.6525974025974026,0.005618814997056826,0.005,top
5,ribosome,GO:0005840,0,,,,
6,mitochondrion,GO:0005739,14,0.8126159554730983,0.7243033489042137,0.69,bot
6,ER_lumen,GO:0005788,12,10.744186046511627,0.00024079204034241637,0.0,top
6,extracellular_vesicle,GO:0070062,48,1.3328173374613004,0.27319113941642287,0.295,top
6,cytoskeleton,GO:0005856,7,1.216,0.5550700259626284,0.56,top
6,plasma_membrane,GO:0005886,74,1.0677685950413223,0.48490609405078744,0.495,top
6,nucleus,GO:0005634,92,2.323185011709602,0.007178000417235478,0.005,bot
6,secreted,GO:0005615,47,3.872,0.00015128963289307818,0.0,top
6,ribosome,GO:0005840,0,,,,
7,mitochondrion,GO:0005739,14,0.8126159554730983,0.7243033489042137,0.765,bot
7,ER_lumen,GO:0005788,12,10.744186046511627,0.00024079204034241637,0.0,top
7,extracellular_vesicle,GO:0070062,48,1.5233415233415233,0.16499283921183222,0.165,top
7,cytoskeleton,GO:0005856,7,1.216,0.5550700259626284,0.57,top
7,plasma_membrane,GO:0005886,74,0.9548319327731093,0.6168066965656316,0.64,top
7,nucleus,GO:0005634,92,1.6953125,0.06894576854567945,0.055,bot
7,secreted,GO:0005615,47,3.413151364764268,0.0005672793944190142,0.0,top
7,ribosome,GO:0005840,0,,,,
8,mitochondrion,GO:0005739,14,1.225,0.47647848226837686,0.5,bot
8,ER_lumen,GO:0005788,12,10.744186046511627,0.00024079204034241637,0.0,top
8,extracellular_vesicle,GO:0070062,48,1.7361111111111112,0.08983574036004119,0.075,top
8,cytoskeleton,GO:0005856,7,1.216,0.5550700259626284,0.565,top
8,plasma_membrane,GO:0005886,74,1.0677685950413223,0.48490609405078744,0.43,top
8,nucleus,GO:0005634,92,1.8812974465148378,0.035556691608392414,0.02,bot
8,secreted,GO:0005615,47,3.872,0.00015128963289307818,0.0,top
8,ribosome,GO:0005840,0,,,,
9,mitochondrion,GO:0005739,14,2.4293478260869565,0.10195036174439852,0.08,bot
9,ER_lumen,GO:0005788,12,10.744186046511627,0.00024079204034241637,0.0,top
9,extracellular_vesicle,GO:0070062,48,1.161904761904762,0.4096874565975988,0.46,top
9,cytoskeleton,GO:0005856,7,1.216,0.5550700259626284,0.495,top
9,plasma_membrane,GO:0005886,74,0.8521303258145363,0.7370048396092337,0.71,bot
9,nucleus,GO:0005634,92,1.6953125,0.06894576854567945,0.07,bot
9,secreted,GO:0005615,47,4.9937888198757765,7.524831997137149e-06,0.0,top
9,ribosome,GO:0005840,0,,,,
10,mitochondrion,GO:0005739,14,13.772357723577235,1.831561419260293e-05,0.0,bot
10,ER_lumen,GO:0005788,12,6.954545454545454,0.001984637404178837,0.005,top
10,extracellular_vesicle,GO:0070062,48,1.161904761904762,0.4096874565975988,0.36,top
10,cytoskeleton,GO:0005856,7,1.216,0.5550700259626284,0.61,top
10,plasma_membrane,GO:0005886,74,1.329275715155204,0.24114497374997718,0.23,bot
10,nucleus,GO:0005634,92,1.243781094527363,0.3011997384340524,0.32,bot
10,secreted,GO:0005615,47,3.872,0.00015128963289307818,0.0,top
10,ribosome,GO:0005840,0,,,,
11,mitochondrion,GO:0005739,14,1.225,0.47647848226837686,0.48,bot
11,ER_lumen,GO:0005788,12,18.452380952380953,1.9351359220331308e-05,0.0,top
11,extracellular_vesicle,GO:0070062,48,1.0083333333333333,0.5600229837151998,0.63,top
11,cytoskeleton,GO:0005856,7,0.4934640522875817,0.8695448037288483,0.845,top
11,plasma_membrane,GO:0005886,74,0.9548319327731093,0.6168066965656316,0.62,bot
11,nucleus,GO:0005634,92,1.378787878787879,0.19990135636985745,0.235,bot
11,secreted,GO:0005615,47,3.413151364764268,0.0005672793944190142,0.0,top
11,ribosome,GO:0005840,0,,,,
